iShares Core S&P Mid-Cap ETF,,,,,,,,,,,
Inception Date,"May 22, 2000",,,,,,,,,,
Fund Holdings as of,"Mar 29, 2018",,,,,,,,,,
Total Net Assets,"44,298,341,708.25",,,,,,,,,,
Shares Outstanding,"236,250,000.00",,,,,,,,,,
Stock,-,,,,,,,,,,
Bond,-,,,,,,,,,,
Cash,-,,,,,,,,,,
Other,-,,,,,,,,,,
 ,,,,,,,,,,,
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
WBS,WEBSTER FINANCIAL CORP,Equity,0.3,55.4,"2,379,549.00","131,827,014.60","131,827,014.60",Financials,2945143,US9478901096,New York Stock Exchange Inc.
FICO,FAIR ISAAC CORP,Equity,0.29,169.37,"774,232.00","131,131,673.84","131,131,673.84",Information Technology,2330299,US3032501047,New York Stock Exchange Inc.
PB,PROSPERITY BANCSHARES INC,Equity,0.29,72.63,"1,805,261.00","131,116,106.43","131,116,106.43",Financials,2310257,US7436061052,New York Stock Exchange Inc.
STL,STERLING BAN,Equity,0.29,22.55,"5,805,076.00","130,904,463.80","130,904,463.80",Financials,BFNXVB8,US85917A1007,New York Stock Exchange Inc.
OLN,OLIN CORP,Equity,0.29,30.39,"4,301,862.00","130,733,586.18","130,733,586.18",Materials,2658526,US6806652052,New York Stock Exchange Inc.
BIO,BIO RAD LABORATORIES INC CLASS A,Equity,0.29,250.08,"522,239.00","130,601,529.12","130,601,529.12",Health Care,2098508,US0905722072,New York Stock Exchange Inc.
CRL,CHARLES RIVER LABORATORIES INTERNA,Equity,0.29,106.74,"1,221,007.00","130,330,287.18","130,330,287.18",Health Care,2604336,US1598641074,New York Stock Exchange Inc.
JBL,JABIL INC,Equity,0.29,28.73,"4,526,978.00","130,060,077.94","130,060,077.94",Information Technology,2471789,US4663131039,New York Stock Exchange Inc.
EXP,EAGLE MATERIALS INC,Equity,0.29,103.05,"1,256,183.00","129,449,658.15","129,449,658.15",Materials,2191399,US26969P1084,New York Stock Exchange Inc.
AVT,AVNET INC,Equity,0.29,41.76,"3,098,599.00","129,397,494.24","129,397,494.24",Information Technology,2066505,US0538071038,New York Stock Exchange Inc.
THG,HANOVER INSURANCE GROUP INC,Equity,0.29,117.89,"1,094,148.00","128,989,107.72","128,989,107.72",Financials,2020415,US4108671052,New York Stock Exchange Inc.
