As Of,Index Level,NAV per Share,Ex-Dividends,Shares Outstanding
"Apr 19, 2017","2,494.02",169.87,--,"228,900,000.00"
"Apr 18, 2017","2,488.01",169.46,--,"229,400,000.00"
"Apr 17, 2017","2,487.76",169.44,--,"229,250,000.00"
"Apr 13, 2017","2,459.04",167.49,--,"228,700,000.00"
"Apr 12, 2017","2,486.53",169.36,--,"228,550,000.00"
"Apr 11, 2017","2,515.67",171.35,--,"229,950,000.00"
"Apr 10, 2017","2,501.49",170.39,--,"228,300,000.00"
"Apr 07, 2017","2,495.64",169.99,--,"228,200,000.00"
"Apr 06, 2017","2,498.09",170.15,--,"228,000,000.00"
"Apr 05, 2017","2,478.50",168.82,--,"227,850,000.00"
"Apr 04, 2017","2,497.62",170.12,--,"228,750,000.00"
"Apr 03, 2017","2,499.99",170.29,--,"229,050,000.00"
